queued_pricing_error_s,backlog_error_s
-0.108,-0.124
-0.1059,-0.136
-0.0447,-0.085
-0.2815,-0.334
-0.3262,-0.381
-0.3998,-0.462
-0.471,-0.556
-0.1528,-0.223
-0.0299,-0.116
0.2033,0.131
0.3979,0.326
0.6358,0.604
0.869,0.54
1.3395,0.965
1.3609,0.958
1.1941,1.108
1.105,0.927
0.9384,0.747
0.5519,0.365
0.0319,-0.126
-0.4625,-0.621
-0.022,-0.146
0.6847,0.628
1.4407,1.381
2.1497,2.152
1.2499,0.627
0.6748,-0.019
0.0932,0.043
0.1139,0.081
-0.057,-0.075
-0.025,-0.022
0.0161,0.017
-0.0116,-0.017
0.0295,0.032
0.017,0.001
1.043,0.303
0.9577,0.19
0.3844,-0.167
0.0066,0.042
0.653,0.654
1.1006,0.986
1.4042,1.236
1.2525,0.647
0.7356,0.173
0.144,-0.386
-0.3135,-0.371
-0.4155,-0.498
-0.434,-0.502
-0.3369,-0.423
-0.2673,-0.375
-0.2107,-0.342
-0.1194,-0.245
-0.0415,-0.115
0.122,0.031
0.0305,-0.085
0.0368,-0.108
-0.0154,-0.145
0.047,-0.099
-0.0586,-0.198
-0.0307,-0.215
1.014,0.319
0.8066,0.089
0.2312,-0.253
0.1088,0.249
0.7773,0.667
1.224,1.088
0.9836,1.428
0.8907,0.328
0.3606,-0.208
-0.1918,-0.202
-0.1124,-0.114
-0.1415,-0.13
-0.1482,-0.154
-0.2098,-0.247
-0.0854,-0.126
-0.0473,-0.107
-0.0195,-0.046
0.008,-0.041
0.0042,-0.066
-0.0836,-0.164
-0.0931,-0.212
-0.1415,-0.276
-0.2026,-0.302
-0.0556,-0.146
0.0854,0.001
0.794,0.292
0.7736,0.239
0.2951,-0.208
-0.0891,-0.057
0.4823,0.405
0.981,0.912
1.3235,1.164
1.1557,0.629
0.5752,0.011
0.1857,-0.32
0.1637,-0.414
-0.3445,-0.437
-0.2744,-0.337
-0.2743,-0.336
-0.2465,-0.34
-0.3084,-0.439
-0.1382,-0.285
-0.0726,-0.27
0.0731,-0.073
0.1969,0.032
0.3139,0.169
0.5081,0.419
0.5892,0.46
0.6765,0.573
0.421,0.117
0.4439,0.109
0.5389,0.187
0.257,0.261
0.7833,0.735
1.1231,1.019
1.399,1.251
1.2397,0.666
0.8258,0.316
0.8806,0.316
0.4956,-0.068
0.0017,-0.116
-0.0246,-0.145
-0.1141,-0.228
-0.1316,-0.246
-0.1656,-0.299
-0.2412,-0.428
-0.2594,-0.435
-0.2222,-0.386
-0.1386,-0.305
-0.0154,-0.123
0.1259,-0.006
0.1602,0.038
0.1829,0.044
0.273,0.083
0.3313,0.113
0.2446,0.129
0.5089,0.435
0.9083,0.774
1.2814,1.007
1.7768,1.495
1.7999,1.3
2.0159,1.497
1.8005,1.03
0.9993,0.236
0.1612,-0.139
0.0373,-0.102
0.0641,-0.033
0.0792,-0.05
-0.0023,-0.089
-0.0491,-0.128
-0.0491,-0.154
-0.0763,-0.139
-0.0013,-0.045
0.0647,0.054
0.0506,0.017
-0.0609,-0.132
-0.0192,-0.039
0.0549,0.031
0.344,0.017
0.0262,-0.108
0.0535,-0.087
-0.0663,0.071
0.0881,-0.017
0.0277,-0.002
0.0225,0.004
0.0093,-0.02
-0.0486,-0.042
-0.0273,-0.094
-0.075,-0.109
-0.0769,-0.103
-0.1061,-0.142
-0.0721,-0.104
-0.0588,-0.093
-0.1363,-0.183
-0.138,-0.178
-0.1636,-0.214
-0.1021,-0.161
-0.0104,-0.058
0.0694,0.009
0.1137,0.063
0.1751,0.114
0.205,0.152
0.1316,0.076
0.0619,-0.012
0.221,-0.038
-0.0359,0.043
-0.0241,0.038
0.0276,0.009
0.0532,0.034
0.0233,0.012
-0.0125,-0.034
-0.0787,-0.124
-0.1193,-0.145
-0.1496,-0.187
-0.147,-0.16
-0.1831,-0.159
-0.2214,-0.207
-0.171,-0.175
-0.1413,-0.151
-0.1322,-0.155
-0.0938,-0.131
-0.0252,-0.074
0.027,-0.032
0.1455,0.092
0.2182,0.16
0.2933,0.228
0.3739,0.314
0.3454,0.272
0.2386,0.155
0.1188,0.034
0.182,-0.039
-0.0692,0.026
0.0224,0.017
0.0203,0.005
0.0045,-0.022
-0.0327,-0.043
-0.0111,-0.024
0.0172,0.014
0.024,0.006
0.0211,0.002
0.0118,-0.012
0.0167,-0.013
-0.0042,-0.043
-0.038,-0.08
-0.0307,-0.063
-0.0363,-0.074
-0.0072,-0.074
-0.013,-0.041
0.0259,-0.005
0.0239,-0.014
0.0814,0.036
0.1546,0.104
0.2211,0.171
0.3069,0.247
0.3293,0.259
0.2648,0.194
0.15,-0.079
0.0762,-0.175
-0.1256,0.011
-0.0404,0.053
-0.026,-0.127
-0.0875,-0.204
-0.1654,-0.212
-0.1399,-0.097
-0.1335,-0.105
-0.0815,-0.056
-0.0674,-0.075
-0.1109,-0.157
-0.1576,-0.215
-0.3307,-0.391
