queued_pricing_error_s,backlog_error_s
0.0037,0.05
0.0731,0.061
0.0539,0.033
0.0421,-0.006
0.02,-0.031
-0.0231,-0.086
-0.2234,-0.281
-0.3893,-0.425
-0.5546,-0.589
-0.6949,-0.713
-0.8923,-0.921
-0.9158,-0.922
-0.9478,-0.923
-1.1497,-1.135
-1.1263,-1.09
-1.216,-1.193
-1.1303,-1.093
0.239,-0.166
-0.0933,0.077
0.0595,0.025
-0.0533,-0.087
-0.118,-0.164
-0.1493,-0.108
-0.1519,-0.111
-0.0571,-0.073
-0.1599,-0.186
-0.1235,-0.127
-0.1704,-0.169
-0.0938,-0.084
-0.091,-0.09
-0.0865,-0.115
-0.0982,-0.121
-0.1185,-0.151
-0.1361,-0.178
-0.3156,-0.362
-0.795,-0.847
-1.289,-1.356
-1.4364,-1.484
